chassi,preco_usd,preco_original_msrp_usd,preco_referencia_usd,percentual_mudanca_preco,quilometragem,dias_no_mercado_total,dias_no_mercado_180d,dias_no_mercado_ativo,dias_desde_inicio_ativo,unico_dono,id_revendedor,tipo_revendedor,cidade_revendedor,cor_externa,cor_interna,cor_interna_base,cor_externa_base,ano_fabricacao,versao,versao_detalhada,tipo_carroceria,transmissao,tracao,tipo_combustivel,motor,tamanho_motor,portas,cilindros,altura_total,comprimento_total,largura_total,consumo_estrada_mpg,consumo_cidade_mpg,tipo_powertrain
2HGFG3B59CH544689,8995.0,8995.0,8995.0,0.0,101152.0,76,76,76,76,Não,1026183,independent,Lafayette,Gray,Gray,Gray,Cinza,2012,LX,LX Auto,Coupe,Automatic,FWD,Gasolina Comum,1.8L I4,1.8,2,4,1.4,4.52,1.8,17.43,12.75,Combustion
19XFB2F87CE372279,8939.5,8939.5,8939.5,0.0,181416.0,79,27,27,27,Não,1026183,independent,Lafayette,Desconhecido,Desconhecido,Desconhecido,Outras,2012,EX,EX Auto,Sedan,Automatic,FWD,Gasolina Comum,1.8L I4,1.8,4,4,1.44,4.63,1.8,17.43,13.18,Combustion
19XFC2F54GE203507,16999.0,16999.0,16999.0,0.0,205802.0,93,20,20,19,Não,1014272,franchise,Roseville,Desconhecido,Desconhecido,Desconhecido,Outras,2016,LX,LX CVT,Sedan,CVT,FWD,Gasolina Comum,2.0L I4,2.0,4,4,1.44,4.63,1.8,17.43,13.18,Combustion
2HGFC2F56HH502570,12995.0,16995.0,16995.0,-23.54,149793.0,235,37,37,37,Não,1103310,independent,Costa Mesa,Red,Black,Black,Vermelho,2017,LX,LX CVT,Sedan,CVT,FWD,Gasolina Comum,2.0L I4,2.0,4,4,1.44,4.63,1.8,17.43,13.18,Combustion
19XFC2F71GE236045,15996.5,15996.5,15996.5,0.0,249622.0,72,71,31,31,Não,1026183,independent,Lafayette,Desconhecido,Desconhecido,Desconhecido,Outras,2016,EX,EX CVT,Sedan,Automatic,FWD,Gasolina Comum,2.0L I4,2.0,4,4,1.44,4.63,1.8,17.43,13.18,Combustion
2HGFC4B67KH302606,17880.0,17880.0,17888.0,-0.04,106015.0,29,26,26,26,Sim,1035095,independent,Montclair,Crystal Black Pearl,Black,Black,Preto,2019,LX,LX CVT,Coupe,CVT,FWD,Gasolina Comum,2.0L I4,2.0,2,4,1.4,4.52,1.8,17.43,12.75,Combustion
2HGFC1E55LH703896,18006.0,18006.0,18242.0,-1.29,198042.0,96,69,69,66,Sim,1035095,independent,Montclair,Lunar Silver Metallic,Black,Black,Prata,2020,Si,Si Sedan,Sedan,Manual,FWD,Gasolina Premium,1.5L I4,1.5,4,4,1.44,4.64,1.8,16.15,11.9,Combustion
2HGFC2F77JH564891,18988.0,18988.0,19977.0,-4.95,90513.0,216,121,121,120,Não,1026183,independent,Lafayette,White,Desconhecido,Desconhecido,Branco,2018,EX,EX CVT,Sedan,CVT,FWD,Gasolina Comum,2.0L I4,2.0,4,4,1.44,4.63,1.8,17.43,13.18,Combustion
19XFC2F83LE205477,19999.0,19999.0,20988.0,-4.71,109734.0,141,130,130,120,Não,1026183,independent,Lafayette,Black,Desconhecido,Desconhecido,Preto,2020,Sport,Sport CVT,Sedan,CVT,FWD,Gasolina Comum,2.0L I4,2.0,4,4,1.42,4.69,1.8,16.58,13.18,Combustion
19XFC2F89ME202102,19999.0,19999.0,20988.0,-4.71,110856.0,207,205,205,205,Não,1026183,independent,Lafayette,Gray,Desconhecido,Desconhecido,Cinza,2021,Sport,Sport CVT,Sedan,CVT,FWD,Gasolina Comum,2.0L I4,2.0,4,4,1.42,4.69,1.8,16.58,13.18,Combustion
2HGFE2F24PH559512,22999.0,22999.0,23277.0,-1.19,29552.0,40,16,16,15,Sim,1035095,independent,Montclair,Meteorite Gray Metallic,Black,Black,Cinza,2023,LX,LX CVT,Sedan,CVT,FWD,Gasolina Comum,2.0L I4,2.0,4,4,1.42,4.69,1.8,17.43,13.6,Combustion
