"chassi","idade","quilometragem","preco_usd","preco_medio","pct_abaixo_media"
"19XFC2F64KE206831",6,150697,"6500.00","18410.15","64.69"
"2HGFC4B54HH304801",8,156023,"6900.00","15939.48","56.71"
"2HGFC2F54JH514271",7,77144,"10950.00","19390.72","43.53"
"19XFC2F66KE045902",6,69298,"11999.00","20762.83","42.21"
"19XFB2F90CE337687",13,290582,"4995.00","8580.13","41.78"
"2HGFC3B30KH354286",6,196339,"10900.00","18410.15","40.79"
"2HGFG3B56FH527997",10,190874,"7988.00","13443.97","40.58"
"2HGFC2F61LH560958",5,150308,"11480.00","19310.02","40.55"
"2HGFC2F54JH558058",7,190237,"10500.00","17149.95","38.78"
"2HGFC4B09GH304666",9,52854,"10950.00","17880.56","38.76"
"2HGFC2F56GH533977",9,291445,"7950.00","12911.49","38.43"
"2HGFC2F62KH521617",6,94169,"12950.00","20762.83","37.63"
"2HGFC2F82MH507916",4,91454,"13499.00","21639.87","37.62"
"19XFC2F68GE215619",9,142681,"9950.00","15400.08","35.39"
"19XFB2F5XFE704712",10,198963,"8799.00","13443.97","34.55"
"2HGFB2F88DH514789",12,80078,"9888.00","14494.20","31.78"
"19XFC1F37LE216030",5,93934,"14950.00","21839.92","31.55"
"2HGFC2F62LH503426",5,75623,"14995.00","21839.92","31.34"
"2HGFC2F79JH540687",7,187649,"11800.00","17149.95","31.20"
"2HGFC2F8XMH554272",4,83211,"14999.00","21639.87","30.69"
"2HGFE2F56NH604361",3,50931,"16999.00","24513.03","30.65"
"2HGFC2F51JH522070",7,51085,"13495.00","19390.72","30.40"
"2HGFC2F82KH539469",6,114789,"12950.00","18410.15","29.66"
"2HGFC3B37KH351918",6,109435,"13000.00","18410.15","29.39"
"2HGFE2F24NH587615",3,167651,"14999.00","21102.97","28.92"
"2HGFE2F53NH577409",3,78632,"17499.00","24513.03","28.61"
"2HGFC2F88LH546542",5,56327,"15999.00","21839.92","26.74"
"2HGFC2F82MH512159",4,83629,"16151.00","21639.87","25.36"
"19XFB2F84FE109364",10,84732,"12782.00","16858.67","24.18"
"2HGFE2F21NH506358",3,91499,"18900.00","24513.03","22.90"
"2HGFE2F52NH565686",3,76339,"18985.00","24513.03","22.55"
"2HGFE2F20NH529355",3,98376,"18995.00","24513.03","22.51"
"2HGFE1E55PH470666",2,72420,"19900.00","24826.50","19.84"
"2HGFE2F53PH536815",2,59546,"19995.00","24826.50","19.46"
"2HGFE2F20PH530668",2,54724,"20344.00","24826.50","18.06"
